Q1586454	Harry Chapin
Q168419	Jérôme Lalande
Q28513	Austria-Hungary
Q362353	Vincent Gallo
Q112307	Lena Horne
Q193509	Taylor Momsen
Q151164	André Malraux
Q782942	Australia Group
Q191999	Robert McNamara
Q363371	Yegor Letov
Q261812	Drake Bell
Q108283	Alan Arkin
Q240808	Maureen Tucker
Q76432	Rudolf Virchow
Q938622	Pontifical Academy of Sciences
Q58612	Yehuda Amichai
Q191583	Royal Swedish Academy of Sciences
Q313080	Soulja Boy
Q12152	myocardial infarction
Q1137381	Arab Fund for Economic and Social Development
Q40909	Virginia Woolf
Q353442	Gabriel Lamé
Q172579	Kingdom of Italy
Q135481	Lev Gumilyov
Q455236	Alexis Korner
Q215927	Yeshayahu Leibowitz
Q233957	Severo Ochoa
Q667661	literary realism
Q25320	Paul Langevin
Q11366	alternative rock
Q131814	Tina Turner
Q153243	Josiah Willard Gibbs
Q277626	A&M Records
Q75814	Wilhelm Wundt
Q436693	Ivor Novello
Q47087	Arthur C. Clarke
Q736099	Renato Carosone
Q183412	EMI
Q722202	Yoram Kaniuk
Q3772571	Caribbean Development Bank
Q191088	Joe Jonas
Q130799	James Blunt
Q1042	Seychelles
Q563	Brigitte Fontaine
Q854	Sri Lanka
Q60025	Hannah Arendt
Q157324	François Guizot
Q156774	Pedro II of Brazil
Q262294	Keren Ann
Q7013	Lena Meyer-Landrut
Q336018	Julian Fellowes
Q7546	Ingmar Bergman
Q351061	Ryan Tedder
Q80135	Dmitri Shostakovich
Q334180	Xavier Cugat
Q1020	Malawi
Q1377612	European Payments Union
Q3455803	director
Q38392	William Faulkner
Q557	Patti Smith
Q28480	Max Brod
Q131112	Paul Krugman
Q380381	Dave Matthews
Q311450	Billy Preston
Q191719	Zooey Deschanel
Q5146	Portuguese
Q252	Indonesia
Q7785	Commonwealth of Nations
Q8355	violin
Q7749	rock and roll
Q403	Serbia
Q15981151	jazz musician
Q37226	teacher
Q826	Maldives
Q131755	bipolar disorder
Q27621	Saint Petersburg State University
Q7747	Vladimir Putin
Q1075651	keyboardist
Q77888	Wilhelm von Humboldt
Q170842	Sergei Korolev
Q187166	Antonin Artaud
Q121842	French people
Q183266	Samuel Johnson
Q230916	Galina Vishnevskaya
Q410	Carl Sagan
Q2416148	Vladimir Turchinsky
Q663492	Eurocontrol
Q800	Costa Rica
Q83326	Béla Bartók
Q130631	Jacques Derrida
Q201500	Gerald Wilson
Q30449	Avril Lavigne
Q219631	Adam Levine
Q302497	mandolin
Q236351	Stacie Orrico
Q354783	Amiri Baraka
Q18430	Joseph E. Stiglitz
Q132964	Vladimir Mayakovsky
Q58062	Georg Forster
Q49355	James Bryant Conant
Q1415090	film score composer
Q307	Galileo Galilei
Q9047	Gottfried Wilhelm Leibniz
Q16	Canada
Q819	Laos
Q8446	Kurt Cobain
Q41488	Wole Soyinka
Q238	San Marino
Q167475	Jacques Rivette
Q12439	Detroit
Q5679	Lord Byron
Q116309	Nicholas Marr
Q194287	Joe Satriani
Q57244	Paul Hindemith
Q58339	disco
Q216341	Connie Francis
Q550778	John de Lancie
Q44301	Jim Morrison
Q213	Czech Republic
Q436712	Ben Elton
Q44695	Konstantin Simonov
Q1044	Sierra Leone
Q235515	Janis Ian
Q835	Mikhail Bulgakov
Q9235	Georg Wilhelm Friedrich Hegel
Q963	Botswana
Q222071	Courtney Love
Q1030	Namibia
Q61	Washington, D.C.
Q80222	Joseph-Louis Lagrange
Q228832	Julia Volkova
Q237659	Penny Marshall
Q229264	Georges-Louis Leclerc, Comte de Buffon
Q7302	George Frideric Handel
Q216179	Bryan Ferry
Q187165	Dave Mustaine
Q49084	short story
Q7314	Igor Stravinsky
Q152824	Susan Sontag
Q1276	Leonard Cohen
Q198962	Sandy
Q5921	Chuck Berry
Q487491	Anatole Abragam
Q367634	Big Sean
Q289064	Felipe Colombo
Q32	Luxembourg
Q1930187	journalist
Q37767	T. S. Eliot
Q750	Bolivia
Q5809	Che Guevara
Q486748	pianist
Q34584	Anastacia
Q38875	Mos Def
Q269927	David Mamet
Q232462	Ani DiFranco
Q12078	cancer
Q471443	Ilya Ilf
Q1425328	USSR Union of Writers
Q102813	Yul Brynner
Q232	Kazakhstan
Q193676	Ludacris
Q1351177	Tim Rose
Q154145	Gabriel Marcel
Q984644	Gavriil Troyepolsky
Q41	Greece
Q842	Oman
Q236066	AJ Michalka
Q93341	Miles Davis
Q58328	Jean-Baptiste Biot
Q295502	Darren Criss
Q18805	naturalist
Q40348	lawyer
Q185610	will.i.am
Q399	Armenia
Q337234	Academia Europaea
Q381944	Eldar Ryazanov
Q222	Albania
Q8178443	librettist
Q213662	Karl Lachmann
Q153996	Nena
Q61723	Gustav Landauer
Q184	Belarus
Q1053574	executive producer
Q150	French
Q34660	J. K. Rowling
Q272069	Damon Albarn
Q1327329	multi-instrumentalist
Q379580	John Muir
Q563057	Charlie Rich
Q538	Oceania
Q151892	Ariana Grande
Q295431	Julian Barnes
Q231207	Charlotte Church
Q234773	Priscilla Presley
Q49767	François-René de Chateaubriand
Q348533	Nick Cannon
Q108941	Carrie Fisher
Q189	Iceland
Q29055	Sacha Baron Cohen
Q443995	John Cameron Mitchell
Q154203	Albert Lortzing
Q207628	musical composition
Q3033	Göttingen
Q234169	Irene Cara
Q159551	Ignaz Moscheles
Q395	mathematics
Q239786	Alexz Johnson
Q44107	Peter Handke
Q57139	Max Reger
Q7245	Mark Twain
Q217619	Anthony Burgess
Q202660	Collège de France
Q44857	John Legend
Q13590141	presenter
Q101740	Benoit Mandelbrot
Q156201	Roman Jakobson
Q20	Norway
Q315222	Ľudovít Štúr
Q34086	Justin Bieber
Q167997	Otto Schmidt
Q1781	Budapest
Q134180	Truman Capote
Q1350303	Holly Johnson
Q233541	Lisa Lopes
Q174710	"University of California, Los Angeles"
Q60969	Hermann Burmeister
Q160333	Prosper Mérimée
Q214642	Paul Auster
Q188	German
Q37327	Samuel Beckett
Q1476215	human rights activist
Q553276	Steve Allen
Q708963	Allan Sherman
Q311223	Edward Sabine
Q1444	organ
Q442830	Ivan Urgant
Q297816	Sammy Davis Jr.
Q132537	J. Robert Oppenheimer
Q168362	John Desmond Bernal
Q10681	Alan Stivell
Q859	Plato
Q1373347	Martie Maguire
Q397	Latin
